Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1513,0.5525,1.0371,0.6084,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,2054,0.7137,0.7332,0.852,0.6789,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,2329,0.617,0.7664,0.7063,0.7313,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,2586,0.5686,0.7777,0.6844,0.7203,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,2691,0.5182,0.8049,0.6505,0.7551,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,2995,0.4812,0.8188,0.75,0.7256,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,3447,0.4614,0.8254,0.5076,0.8013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,3681,0.3946,0.8527,0.5619,0.7872,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,3637,0.3919,0.8508,0.6683,0.7604,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,3405,0.441,0.8369,0.4562,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,4027,0.3556,0.8693,0.442,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,4212,0.3232,0.8766,0.5668,0.7991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,4340,0.3428,0.873,0.5303,0.8106,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,4093,0.3085,0.8844,0.4427,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,4428,0.2805,0.8963,0.4933,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,4428,0.3034,0.8878,0.4449,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,4665,0.2666,0.9004,0.4336,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,4896,0.2561,0.905,0.533,0.8115,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,4678,0.3023,0.8899,0.3935,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,4738,0.2373,0.9127,0.44,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,5023,0.2397,0.9105,0.4961,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,4864,0.2223,0.9143,0.4841,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,5076,0.2288,0.9126,0.4291,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,4845,0.1968,0.9263,0.4279,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,4985,0.1978,0.9259,0.5195,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,4814,0.2161,0.9212,0.4721,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,5126,0.2012,0.9287,0.4554,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,5050,0.1881,0.9299,0.3803,0.8595,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,5229,0.1767,0.9309,0.4118,0.8648,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,5353,0.1031,0.9648,0.2802,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,5563,0.0738,0.9757,0.2802,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,5702,0.0622,0.9813,0.2823,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,5735,0.0561,0.982,0.2873,0.907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,5785,0.0536,0.9839,0.2874,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,5821,0.0522,0.9827,0.2921,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,5849,0.0464,0.9863,0.2952,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,5889,0.046,0.9859,0.308,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,5920,0.0449,0.9866,0.3292,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,5900,0.0469,0.986,0.3057,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,5973,0.0409,0.9867,0.3163,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
