Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1735,0.5577,1.1507,0.5828,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
2,933,0.8829,0.6652,0.9371,0.6511,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
3,1123,0.7600,0.7091,0.7060,0.7189,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
4,1490,0.6640,0.7514,0.7511,0.7220,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
5,1562,0.6194,0.7690,0.6855,0.7128,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
6,2046,0.5640,0.7882,0.6620,0.7480,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
7,2582,0.5302,0.8018,0.6520,0.7648,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
8,3095,0.4708,0.8257,0.6120,0.7683,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
9,3194,0.4661,0.8253,0.5265,0.8004,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
10,3014,0.4327,0.8404,0.4872,0.8115,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
11,2847,0.4190,0.8464,0.5350,0.8004,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
12,3736,0.3945,0.8560,0.4534,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
13,3653,0.3857,0.8573,0.4742,0.8225,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
14,3093,0.3699,0.8653,0.4653,0.8150,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
15,2930,0.3805,0.8574,0.3984,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
16,3282,0.3604,0.8661,0.4816,0.8123,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
17,3673,0.3505,0.8686,0.7878,0.7577,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
18,3181,0.3952,0.8573,0.4203,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
