Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
19,3175,0.3426,0.8718,0.8841,0.7841,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
20,3556,0.4064,0.8536,0.4043,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
21,3566,0.3169,0.8804,0.4005,0.8559,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
22,3924,0.3122,0.8826,0.3648,0.8648,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
23,3658,0.3107,0.8846,0.4629,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
24,3818,0.3110,0.8878,0.4699,0.8269,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
25,4008,0.3107,0.8871,0.4027,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
26,3678,0.3003,0.8864,0.3560,0.8674,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
27,3878,0.2973,0.8918,0.4163,0.8480,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
28,4155,0.3050,0.8868,0.3480,0.8634,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
29,4324,0.2808,0.8979,0.3556,0.8731,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
30,4162,0.2117,0.9216,0.2700,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
31,4512,0.1803,0.9333,0.2676,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
32,4649,0.1765,0.9364,0.2700,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
33,4761,0.1647,0.9405,0.2627,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
34,4818,0.1628,0.9405,0.2571,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
35,4840,0.1595,0.9416,0.2649,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
36,4938,0.1620,0.9393,0.2633,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
37,4983,0.1535,0.9451,0.2544,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
38,4945,0.1515,0.9445,0.2672,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
39,4968,0.1493,0.9450,0.2561,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
40,4979,0.1472,0.9466,0.2691,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
41,5036,0.1420,0.9485,0.2711,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
42,5055,0.1445,0.9473,0.2702,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
43,5102,0.1363,0.9499,0.2564,0.9070,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
44,5093,0.1375,0.9520,0.2671,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
45,5057,0.1367,0.9510,0.2543,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
46,5128,0.1395,0.9503,0.2690,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
47,5154,0.1344,0.9499,0.2633,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
48,5115,0.1371,0.9509,0.2669,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
49,5150,0.1338,0.9512,0.2694,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
50,5184,0.1296,0.9534,0.2694,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
51,5167,0.1302,0.9527,0.2644,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
52,5162,0.1209,0.9561,0.2812,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
53,5159,0.1251,0.9519,0.2858,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
54,5211,0.1259,0.9542,0.2770,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
55,5263,0.1220,0.9556,0.2673,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
56,5241,0.1209,0.9558,0.2820,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
57,5250,0.1178,0.9557,0.2617,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
58,5236,0.1166,0.9560,0.2654,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
59,5326,0.1120,0.9592,0.2606,0.9088,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
60,5333,0.1004,0.9643,0.2521,0.9128,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
61,5369,0.1010,0.9644,0.2441,0.9110,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
62,5317,0.0921,0.9669,0.2470,0.9141,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
63,5374,0.0935,0.9661,0.2536,0.9132,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
64,5379,0.0949,0.9667,0.2564,0.9123,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
65,5363,0.0939,0.9666,0.2567,0.9132,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
66,5353,0.0895,0.9701,0.2522,0.9119,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
67,5363,0.0919,0.9669,0.2585,0.9110,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
68,5367,0.0921,0.9676,0.2537,0.9137,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
69,5411,0.0897,0.9688,0.2568,0.9128,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
70,5388,0.0897,0.9691,0.2583,0.9128,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
71,5392,0.0885,0.9699,0.2604,0.9106,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
72,5421,0.0886,0.9675,0.2501,0.9145,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
73,5441,0.0857,0.9699,0.2576,0.9123,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
74,5418,0.0871,0.9702,0.2541,0.9172,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
75,5399,0.0896,0.9687,0.2545,0.9150,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
76,5445,0.0857,0.9693,0.2611,0.9101,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
77,5437,0.0871,0.9696,0.2607,0.9132,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
78,5472,0.0901,0.9682,0.2587,0.9128,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
79,5428,0.0859,0.9686,0.2636,0.9123,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
80,5436,0.0837,0.9714,0.2622,0.9088,0.2977,0.8974,0.8945,0.8930,0.8935,0.9420,0.9049,0.7809,0.9125,0.8430,0.9289,0.9390,[[325  17   0   1   0   1   1]  [ 15 352  21   0   1   0   0]  [  0  20 253  42   9   0   0]  [  0   3  27 417   6   2   2]  [  0   1   5  14 145   6   1]  [  0   0   2   2   7 222   6]  [  0   0   1   1   3  16 323]],50.11
