Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1643,0.5595,0.9068,0.6639,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
2,954,0.8608,0.6769,0.8262,0.6740,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
3,884,0.7811,0.7057,0.7415,0.7225,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
4,1345,0.6660,0.7417,0.6482,0.7427,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
5,2137,0.6324,0.7652,0.8149,0.7070,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
6,2292,0.5846,0.7836,0.8175,0.6885,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
7,2510,0.5425,0.7958,0.5761,0.7877,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
8,2354,0.4954,0.8144,0.7085,0.7586,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
9,2606,0.4823,0.8211,0.5619,0.7894,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
10,2616,0.4572,0.8300,0.5414,0.7960,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
11,2851,0.4379,0.8379,0.4977,0.8000,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
12,2854,0.4129,0.8492,0.4268,0.8313,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
13,3064,0.3895,0.8539,2.0298,0.8220,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
14,3345,0.4285,0.8494,0.9890,0.7965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
15,3099,0.4492,0.8361,2.4099,0.7872,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
16,2988,0.4246,0.8409,0.4001,0.8507,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
17,3301,0.3351,0.8738,0.4062,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
18,3834,0.3502,0.8719,0.3720,0.8577,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
19,3764,0.3346,0.8750,0.3977,0.8458,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
20,3845,0.3225,0.8811,1.7217,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
21,4123,0.3676,0.8652,0.3860,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
22,3994,0.3281,0.8811,0.6214,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
23,3445,0.3491,0.8728,0.3874,0.8608,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
24,3809,0.3242,0.8787,0.4874,0.8498,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
25,3912,0.3202,0.8829,0.5250,0.8229,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
26,3802,0.3371,0.8749,0.3466,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
27,3890,0.2905,0.8957,0.3615,0.8573,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
28,4027,0.2987,0.8882,0.5535,0.8128,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
29,4341,0.3110,0.8881,0.4699,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
30,4070,0.2415,0.9123,0.5740,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
31,4370,0.2290,0.9180,0.4458,0.8762,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
32,4371,0.2084,0.9283,0.7722,0.8718,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
33,4607,0.2143,0.9237,0.4964,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
34,4640,0.2037,0.9251,0.4707,0.8780,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
35,4673,0.1983,0.9279,0.3775,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
36,4774,0.1834,0.9333,0.4901,0.8811,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
37,4787,0.1900,0.9330,0.5128,0.8780,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
38,4796,0.1843,0.9340,0.3953,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
39,4820,0.1785,0.9363,0.6756,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
40,4818,0.1891,0.9330,0.3443,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
41,4797,0.1741,0.9338,0.3406,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
42,4914,0.1561,0.9432,0.4214,0.8859,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
43,5002,0.1707,0.9383,0.6195,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
44,4909,0.1816,0.9354,0.4192,0.8705,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
45,4787,0.1655,0.9395,0.4321,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
46,5017,0.1603,0.9412,0.3872,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
47,4995,0.1604,0.9415,0.5738,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
48,5063,0.1726,0.9383,0.3149,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
49,4934,0.1510,0.9444,0.2932,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
50,5122,0.1462,0.9483,0.3512,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
51,5036,0.1515,0.9451,0.4454,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
52,5039,0.1547,0.9452,0.4036,0.8846,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
53,5056,0.1504,0.9447,0.3516,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
54,5108,0.1454,0.9463,0.3343,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
55,5168,0.1413,0.9490,0.4431,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
56,5156,0.1507,0.9456,0.3352,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
57,5154,0.1349,0.9500,0.3010,0.8930,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
58,5175,0.1386,0.9490,0.2952,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
59,5166,0.1320,0.9529,0.3257,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
60,5233,0.1140,0.9600,0.2858,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
61,5284,0.1104,0.9607,0.3085,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
62,5264,0.1106,0.9608,0.3185,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
63,5272,0.1122,0.9599,0.3345,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
64,5273,0.1143,0.9594,0.3491,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
65,5271,0.1103,0.9617,0.3112,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
66,5296,0.1103,0.9608,0.3469,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
67,5289,0.1132,0.9616,0.3012,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
68,5273,0.1077,0.9622,0.2905,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
69,5302,0.1080,0.9624,0.2956,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
70,5308,0.1064,0.9620,0.3025,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
71,5303,0.1020,0.9624,0.3235,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
72,5286,0.1040,0.9619,0.3162,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
73,5309,0.1080,0.9615,0.3423,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
74,5332,0.1081,0.9613,0.3012,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
75,5371,0.1064,0.9615,0.2919,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
76,5370,0.1023,0.9659,0.3097,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
77,5343,0.1005,0.9639,0.3092,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
78,5335,0.1029,0.9630,0.3972,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
79,5320,0.1091,0.9616,0.3606,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
80,5301,0.1022,0.9633,0.3004,0.9013,0.3059,0.9004,0.8994,0.8949,0.8969,0.9478,0.9049,0.8241,0.9081,0.8256,0.9205,0.9331,[[327  10   0   1   5   1   1]  [ 16 352  20   0   0   1   0]  [  0  19 267  35   3   0   0]  [  0   3  28 415   5   4   2]  [  0   0   6  18 142   5   1]  [  0   1   4   1   5 220   8]  [  0   2   1   3   1  16 321]],50.11
