Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1969,0.5465,1.0409,0.6035,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
2,818,0.9073,0.6579,0.9377,0.6335,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
3,981,0.7450,0.7154,0.8003,0.7269,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
4,1888,0.6524,0.7512,0.8397,0.6714,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
5,2059,0.6029,0.7695,0.6624,0.7463,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
6,2211,0.5614,0.7862,0.6240,0.7700,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
7,2503,0.5269,0.8063,0.5593,0.7930,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
8,2846,0.4983,0.8147,0.5590,0.7899,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
9,2497,0.4803,0.8198,1.2138,0.7533,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
10,2600,0.5221,0.8140,0.5315,0.7974,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
11,2697,0.4486,0.8302,0.5396,0.7965,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
12,3261,0.4308,0.8386,0.5690,0.7841,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
13,2901,0.4165,0.8449,0.4931,0.8097,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
14,2867,0.3879,0.8545,0.4844,0.8260,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
15,3637,0.3763,0.8599,0.4505,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
16,3595,0.3664,0.8654,0.4259,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
17,4012,0.3525,0.8672,0.4835,0.8260,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
18,3426,0.3754,0.8646,0.3687,0.8581,None,None,None,None,None,None,None,None,None,None,None,None,None,50.11
