Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.2236,0.5216,0.9287,0.6463,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
2,0.9833,0.6172,0.7391,0.7057,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
3,0.8604,0.668,0.7642,0.7035,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
4,0.7715,0.7005,0.665,0.7489,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
5,0.7191,0.7226,0.6479,0.7361,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
6,0.6587,0.7457,0.5818,0.7714,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
7,0.6021,0.7631,0.6038,0.7678,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
8,0.5725,0.7802,0.4882,0.8018,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
9,0.5562,0.7866,0.4803,0.8159,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
10,0.5321,0.7947,0.6019,0.7639,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
11,0.5063,0.8081,0.5263,0.789,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
12,0.4913,0.8113,0.4441,0.8194,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
13,0.4402,0.8308,0.4618,0.8075,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
14,0.445,0.8302,0.4315,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
15,0.4209,0.837,0.4402,0.8225,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
16,0.3974,0.8439,0.5094,0.804,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
17,0.391,0.8475,0.4927,0.8084,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
18,0.3655,0.8636,0.4417,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
19,0.3558,0.8611,0.5566,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
20,0.3442,0.8649,0.4279,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
21,0.3533,0.8655,0.3976,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
22,0.3167,0.8783,0.4248,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
23,0.3233,0.8755,0.4119,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
24,0.2973,0.8873,0.4666,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
25,0.305,0.884,0.4345,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
26,0.2815,0.8936,0.4658,0.822,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
27,0.2626,0.9015,0.3641,0.8471,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
28,0.2623,0.8994,0.449,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
29,0.2604,0.8998,0.4055,0.8449,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
30,0.1606,0.9423,0.3011,0.8802,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
31,0.1297,0.9566,0.2959,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
32,0.1203,0.9611,0.2995,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
33,0.1047,0.966,0.3053,0.8802,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
34,0.0988,0.9686,0.305,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
35,0.095,0.9688,0.3092,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
36,0.0891,0.9735,0.3193,0.8806,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
37,0.0841,0.9755,0.3256,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
38,0.0726,0.9792,0.3259,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
39,0.0748,0.9768,0.3392,0.874,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
40,0.067,0.9799,0.3316,0.8797,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
41,0.0658,0.981,0.336,0.8789,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
42,0.063,0.9823,0.3338,0.8841,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
43,0.0605,0.9819,0.3493,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
44,0.0556,0.9851,0.3462,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
45,0.0553,0.9852,0.3382,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
46,0.0488,0.9863,0.3506,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
47,0.0517,0.9839,0.3526,0.8789,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
48,0.0481,0.987,0.3593,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
49,0.0451,0.9884,0.3549,0.8749,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
50,0.0472,0.9871,0.3673,0.8749,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
51,0.0407,0.9902,0.3679,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
52,0.0422,0.9885,0.3735,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
53,0.0414,0.988,0.369,0.8727,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
54,0.0392,0.9894,0.37,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
55,0.0367,0.9896,0.3717,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
56,0.0384,0.9903,0.3691,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
57,0.0346,0.9914,0.3697,0.8749,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
58,0.0341,0.9912,0.3827,0.8744,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
59,0.0325,0.9911,0.3778,0.8828,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
60,0.0309,0.9923,0.3783,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
61,0.032,0.9918,0.3794,0.8802,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
62,0.0307,0.993,0.3774,0.8753,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
63,0.0277,0.9938,0.3771,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
64,0.0287,0.9924,0.3749,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
65,0.0245,0.9953,0.3795,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
66,0.0283,0.9932,0.3766,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
67,0.027,0.9938,0.3755,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
68,0.0271,0.9935,0.3742,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
69,0.0273,0.9937,0.3763,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
70,0.0246,0.9955,0.3716,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
71,0.0285,0.9939,0.3765,0.878,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
72,0.0269,0.9941,0.3805,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
73,0.0253,0.9943,0.372,0.8749,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
