Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.2719,0.4983,1.182,0.5366,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
2,0.9626,0.6292,0.8154,0.6863,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
3,0.8499,0.6714,0.804,0.6934,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
4,0.7812,0.6944,0.659,0.7498,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
5,0.7074,0.7281,0.5891,0.7678,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
6,0.6347,0.757,0.5893,0.7656,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
7,0.5951,0.7684,0.5198,0.8022,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
8,0.5639,0.785,0.5278,0.7872,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
9,0.5508,0.7863,0.4516,0.8251,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
10,0.522,0.8019,0.4856,0.8053,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
11,0.5056,0.8022,0.5246,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
12,0.4746,0.8203,0.5074,0.8026,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
13,0.4549,0.8269,0.5225,0.796,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
14,0.4341,0.8353,0.4727,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
15,0.416,0.8374,0.4026,0.8427,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
16,0.402,0.8468,0.5453,0.8084,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
17,0.3987,0.8467,0.5632,0.7969,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
18,0.3704,0.8576,0.4196,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
19,0.358,0.8605,0.3961,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
20,0.3466,0.8676,0.5442,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
21,0.3496,0.8661,0.4449,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
22,0.3172,0.8792,0.4825,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
23,0.3082,0.8826,0.3841,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
24,0.3114,0.882,0.4223,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
25,0.3059,0.8825,0.4048,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
26,0.272,0.8958,0.4379,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
27,0.282,0.8921,0.4121,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
28,0.2891,0.8894,0.4571,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
29,0.2379,0.9072,0.3988,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
30,0.1675,0.941,0.3014,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
31,0.1323,0.9555,0.3022,0.8811,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
32,0.1207,0.9586,0.3011,0.8762,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
33,0.1138,0.9641,0.3075,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
34,0.1081,0.9659,0.3008,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
35,0.0975,0.9697,0.3067,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
36,0.0936,0.9694,0.3061,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
37,0.0871,0.9729,0.308,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
38,0.0837,0.9726,0.3108,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
39,0.0803,0.9754,0.3153,0.8824,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
40,0.074,0.9783,0.3243,0.8797,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
41,0.074,0.9761,0.335,0.8793,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
42,0.0687,0.9795,0.3303,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
43,0.0678,0.9809,0.3275,0.8846,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
44,0.0652,0.9811,0.3315,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
45,0.0606,0.9826,0.3415,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
46,0.0592,0.9823,0.3336,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
47,0.0563,0.9833,0.3353,0.8806,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
48,0.0565,0.9837,0.3514,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
49,0.054,0.9845,0.3549,0.878,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
50,0.0463,0.9873,0.3414,0.8841,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
51,0.05,0.9858,0.3466,0.8762,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
52,0.0471,0.9878,0.342,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
53,0.0447,0.9875,0.3427,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
54,0.0503,0.9856,0.3699,0.878,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
55,0.0452,0.9866,0.3542,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
56,0.0424,0.988,0.3499,0.8811,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
57,0.0418,0.988,0.3547,0.87,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
58,0.0384,0.9887,0.3696,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
59,0.038,0.9907,0.3769,0.8744,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
60,0.0356,0.9911,0.3593,0.8771,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
61,0.0345,0.9908,0.3615,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,1.26
