Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.2775,0.5202,0.9616,0.6189,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,978,0.8900,0.6580,0.8292,0.6758,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1731,0.7448,0.7166,0.7579,0.7189,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,2320,0.6791,0.7415,0.7419,0.7181,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,2301,0.6317,0.7622,0.6935,0.7401,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,2179,0.5832,0.7807,0.6184,0.7656,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,2496,0.5374,0.7994,0.5781,0.7850,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2218,0.5346,0.8009,0.4990,0.8150,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,3081,0.4772,0.8225,0.7943,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,3269,0.4545,0.8313,0.5516,0.7877,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,2587,0.4674,0.8289,0.4731,0.8198,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,2934,0.4193,0.8404,0.4437,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,3098,0.3848,0.8589,0.5669,0.7943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,3198,0.3900,0.8523,0.5027,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3850,0.3694,0.8631,0.4322,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3565,0.3562,0.8666,0.4241,0.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3528,0.3347,0.8742,0.4023,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3828,0.3265,0.8761,0.5387,0.7921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3988,0.3435,0.8726,0.4834,0.8145,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,4176,0.3098,0.8858,0.5687,0.7797,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,3788,0.3276,0.8776,0.3877,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,3575,0.3066,0.8867,0.6140,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,3924,0.3045,0.8884,0.3643,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,4168,0.2929,0.8902,0.3881,0.8546,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,4269,0.2921,0.8882,0.5087,0.8678,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,4307,0.2715,0.8996,0.4218,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,4347,0.2751,0.8977,0.5088,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,4016,0.2865,0.8938,0.4046,0.8432,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,3826,0.2734,0.8972,0.3549,0.8639,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,4197,0.1857,0.9311,0.2783,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,4789,0.1466,0.9464,0.2909,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,5096,0.1399,0.9485,0.2936,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,5155,0.1312,0.9498,0.2826,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,5176,0.1267,0.9531,0.2885,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,5252,0.1250,0.9523,0.3011,0.8890,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,5277,0.1218,0.9545,0.2998,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,5241,0.1129,0.9584,0.2945,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,5351,0.1096,0.9590,0.2829,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,5346,0.1053,0.9627,0.2858,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,5354,0.1082,0.9605,0.2824,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,5370,0.1025,0.9607,0.3096,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,5412,0.0965,0.9643,0.2992,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,5469,0.0992,0.9618,0.2989,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,5476,0.0977,0.9648,0.3006,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,5449,0.0946,0.9644,0.3061,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,5478,0.0932,0.9656,0.3032,0.8930,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
47,5495,0.0842,0.9691,0.3045,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
48,5566,0.0814,0.9701,0.4666,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
49,5576,0.1002,0.9668,0.3287,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
50,5594,0.0846,0.9692,0.3288,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
51,5612,0.0809,0.9705,0.3102,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
52,5679,0.0827,0.9696,0.3232,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
53,5667,0.0784,0.9734,0.3322,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
54,5696,0.0809,0.9719,0.3536,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
