Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
55,5656,0.0829,0.9712,0.3634,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
56,5664,0.0784,0.9729,0.3596,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
57,5678,0.0773,0.9720,0.4020,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
58,5661,0.0835,0.9713,0.3456,0.8837,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
59,5740,0.0771,0.9724,0.3428,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
60,5716,0.0511,0.9834,0.3182,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
61,5795,0.0508,0.9836,0.3291,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
62,5856,0.0497,0.9851,0.3279,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
63,5843,0.0487,0.9838,0.3323,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
64,5827,0.0451,0.9862,0.3388,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
65,5862,0.0464,0.9867,0.3314,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
66,5860,0.0443,0.9863,0.3273,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
67,5870,0.0454,0.9863,0.3378,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
68,5885,0.0465,0.9846,0.3282,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
69,5889,0.0450,0.9867,0.3401,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
70,5845,0.0446,0.9866,0.3354,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
71,5871,0.0429,0.9864,0.3433,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
72,5884,0.0469,0.9858,0.3290,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
73,5906,0.0426,0.9882,0.3207,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
74,5888,0.0431,0.9868,0.3306,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
75,5894,0.0412,0.9885,0.3244,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
76,5897,0.0419,0.9874,0.3337,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
77,5933,0.0442,0.9861,0.3359,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
78,5924,0.0391,0.9882,0.3424,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
79,5929,0.0416,0.9876,0.3346,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
80,5927,0.0406,0.9877,0.3484,0.8974,0.3455,0.8916,0.8982,0.8849,0.8908,0.9623,0.8817,0.7654,0.9059,0.8023,0.9205,0.9564,[[332  12   1   0   0   0   0]  [ 17 343  27   1   0   0   1]  [  1  20 248  51   4   0   0]  [  0   2  37 414   3   0   1]  [  0   2   4  21 138   6   1]  [  1   1   1   2   6 220   8]  [  1   4   1   4   0   5 329]],48.19
