Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
1,None,1.2229,0.5382,1.0074,0.6040,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
2,1129,0.8641,0.6631,0.7831,0.6855,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
3,1762,0.7479,0.7166,0.7299,0.7220,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
4,1986,0.6682,0.7428,1.4292,0.6590,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
5,1716,0.7337,0.7260,0.7866,0.7176,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
6,1943,0.5871,0.7783,0.9326,0.6837,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
7,2562,0.5836,0.7876,0.7421,0.7216,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
8,2595,0.5190,0.8061,0.4933,0.8088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
9,2743,0.4607,0.8273,0.4991,0.8026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
10,2990,0.4349,0.8409,0.5292,0.7934,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
11,3163,0.4198,0.8474,0.4321,0.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
12,3423,0.3974,0.8550,0.5335,0.7960,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
13,3507,0.3819,0.8617,0.5309,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
14,3737,0.3820,0.8586,0.4693,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
15,3601,0.3583,0.8694,0.4151,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
16,3649,0.3565,0.8702,0.5242,0.7960,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
17,3733,0.3425,0.8716,0.4371,0.8300,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
18,4076,0.3259,0.8807,0.4351,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
19,3843,0.3228,0.8823,0.3714,0.8621,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
