Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
20,3904,0.3071,0.8885,0.3738,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
21,4355,0.3095,0.8870,0.3855,0.8524,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
22,4054,0.3032,0.8895,0.4849,0.8216,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
23,3948,0.2933,0.8908,0.5408,0.8040,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
24,4107,0.3091,0.8825,0.4581,0.8396,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
25,3785,0.2963,0.8914,0.3767,0.8498,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
26,4279,0.2800,0.8939,0.3932,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
27,3990,0.2770,0.8925,0.3649,0.8643,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
28,4268,0.2642,0.9021,0.3279,0.8740,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
29,4404,0.2518,0.9071,0.3728,0.8617,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
30,4206,0.1663,0.9393,0.2775,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
31,4912,0.1414,0.9480,0.2766,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
32,5109,0.1242,0.9522,0.2733,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
33,5178,0.1222,0.9548,0.2785,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
34,5244,0.1196,0.9557,0.2706,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
35,5290,0.1125,0.9597,0.2638,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
36,5305,0.1105,0.9595,0.2762,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
37,5373,0.0991,0.9642,0.2909,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
38,5436,0.1045,0.9629,0.2930,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
39,5414,0.1001,0.9638,0.2865,0.9040,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
40,5480,0.0962,0.9643,0.2870,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
41,5482,0.0878,0.9674,0.3039,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
42,5516,0.0880,0.9679,0.2908,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
43,5532,0.0827,0.9700,0.3035,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
44,5559,0.0842,0.9698,0.3030,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
45,5595,0.0812,0.9683,0.3220,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
46,5591,0.0841,0.9688,0.3011,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
47,5624,0.0807,0.9710,0.3000,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
48,5601,0.0736,0.9743,0.2889,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
49,5630,0.0749,0.9728,0.2889,0.9093,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
50,5725,0.0707,0.9748,0.2943,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
51,5684,0.0692,0.9752,0.2909,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
52,5725,0.0655,0.9764,0.3096,0.9000,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
53,5736,0.0636,0.9762,0.3067,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
54,5748,0.0618,0.9775,0.3244,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
55,5786,0.0641,0.9771,0.3267,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
56,5752,0.0646,0.9783,0.3173,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
57,5860,0.0648,0.9759,0.3041,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
58,5831,0.0617,0.9778,0.3144,0.9040,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
59,5856,0.0605,0.9781,0.3157,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
60,5912,0.0421,0.9867,0.3090,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
61,5943,0.0401,0.9877,0.3105,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
62,5942,0.0374,0.9885,0.3122,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
63,5948,0.0386,0.9878,0.3129,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
64,5932,0.0382,0.9887,0.2961,0.9101,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
65,5979,0.0354,0.9894,0.3037,0.9088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
66,6004,0.0347,0.9897,0.3073,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
67,5957,0.0352,0.9888,0.3103,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
68,5991,0.0394,0.9876,0.3024,0.9115,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
69,5988,0.0356,0.9903,0.3056,0.9110,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
70,5982,0.0353,0.9893,0.3051,0.9110,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
71,5986,0.0352,0.9888,0.3040,0.9110,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
72,5981,0.0344,0.9901,0.3000,0.9115,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
73,5990,0.0326,0.9900,0.3127,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
74,6027,0.0324,0.9903,0.3076,0.9093,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
75,6012,0.0318,0.9912,0.3097,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
76,6026,0.0345,0.9905,0.3021,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
77,6015,0.0343,0.9903,0.3092,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
78,6066,0.0306,0.9915,0.3084,0.9088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
79,6055,0.0348,0.9900,0.3175,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19,None
80,6032,0.0329,0.9901,0.3080,0.9093,0.3760,0.8952,0.9008,0.8885,0.8938,0.9536,0.8946,0.8056,0.8972,0.7907,0.9331,0.9448,[[329  15   0   0   0   1   0]  [ 12 348  27   1   0   0   1]  [  0  16 261  45   2   0   0]  [  0   3  32 410   7   2   3]  [  0   1   5  25 136   4   1]  [  0   1   1   2   3 223   9]  [  0   0   3   4   0  12 325]],48.19,3.41
