Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.2851,0.5207,0.9134,0.6634,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,624,0.9425,0.6365,0.9838,0.6537,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1636,0.8135,0.6906,0.7505,0.7079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,2075,0.7032,0.732,0.7201,0.7159,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,1978,0.6498,0.7555,0.7232,0.7256,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,1916,0.6416,0.7571,0.6968,0.7308,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,2098,0.5815,0.7804,0.6343,0.7617,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2764,0.543,0.7962,0.5851,0.77,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,2620,0.514,0.8052,0.6083,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,2817,0.5031,0.8125,0.5516,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,2449,0.4736,0.8195,0.6227,0.7515,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,2682,0.4588,0.829,0.5189,0.7912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,3142,0.4334,0.8376,0.4661,0.8154,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,3140,0.4131,0.8472,0.4463,0.8145,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3245,0.4026,0.8521,0.4781,0.8145,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3462,0.3802,0.858,0.6899,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3761,0.3851,0.8546,0.4588,0.8185,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3587,0.3693,0.861,0.4182,0.8401,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3425,0.3529,0.8659,0.4323,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,3716,0.3373,0.8717,0.3872,0.8441,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,3888,0.3254,0.8818,0.41,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,3842,0.3221,0.8817,0.4029,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,3976,0.3176,0.8825,0.444,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,4242,0.3161,0.8847,0.4214,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,4018,0.3104,0.8851,0.3927,0.8401,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,4258,0.3003,0.887,0.3851,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,4143,0.2899,0.8939,0.4538,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,4428,0.2839,0.8937,0.5056,0.8256,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,4202,0.2836,0.8933,0.4165,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,4172,0.1919,0.9302,0.3042,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,4731,0.1574,0.9408,0.2979,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,4983,0.1538,0.9416,0.2964,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,5024,0.1411,0.9469,0.3015,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,5148,0.1414,0.9467,0.3006,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,5150,0.1305,0.95,0.3011,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,5177,0.1271,0.9525,0.2911,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,5252,0.1198,0.9554,0.3144,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,5255,0.1227,0.9554,0.302,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,5228,0.119,0.9552,0.3088,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,5267,0.1115,0.9595,0.3103,0.8899,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,5355,0.1108,0.9582,0.3103,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,5347,0.1122,0.9586,0.3072,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,5333,0.1067,0.9612,0.3008,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,5353,0.1095,0.9593,0.3245,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,5393,0.0995,0.963,0.3239,0.8899,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,5404,0.0978,0.9651,0.3099,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
47,5450,0.0874,0.9686,0.3427,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
48,5486,0.0925,0.9669,0.3389,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
49,5541,0.0925,0.9667,0.3367,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
50,5515,0.0923,0.9664,0.3412,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
51,5579,0.0865,0.9687,0.3366,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
52,5545,0.0855,0.9689,0.3529,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
53,5571,0.0818,0.97,0.3453,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
54,5609,0.0818,0.9701,0.352,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
