Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
55,5611,0.0756,0.9739,0.3575,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
56,5625,0.0818,0.9702,0.3622,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
57,5654,0.0751,0.9734,0.3886,0.8811,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
58,5644,0.0768,0.9732,0.3653,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
59,5702,0.0707,0.9746,0.3504,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
60,5733,0.0583,0.9797,0.3354,0.8916,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
61,5813,0.0497,0.9842,0.3266,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
62,5807,0.0486,0.9841,0.3336,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
63,5828,0.0463,0.9858,0.3363,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
64,5837,0.0475,0.9851,0.3344,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
65,5854,0.0456,0.9856,0.3395,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
66,5835,0.0464,0.9855,0.3395,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
67,5899,0.0444,0.9864,0.3381,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
68,5899,0.0464,0.9848,0.3434,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
69,5864,0.0441,0.9858,0.3329,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
70,5883,0.0445,0.9854,0.3391,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
71,5881,0.0439,0.9859,0.3362,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
72,5884,0.0412,0.9872,0.3524,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
73,5899,0.0446,0.9863,0.3437,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
74,5890,0.0414,0.9871,0.3463,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
75,5906,0.0395,0.9882,0.3425,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
76,5902,0.0411,0.9868,0.3459,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
77,5911,0.0415,0.9874,0.3466,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
78,5942,0.0435,0.9863,0.3513,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
79,5949,0.0402,0.9883,0.3526,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
80,5908,0.0402,0.9873,0.3549,0.8982,0.3597,0.8938,0.8973,0.8873,0.8917,0.9507,0.8997,0.7994,0.8972,0.7965,0.9289,0.939,[[328  14   1   0   0   1   1] [ 14 350  19   1   0   1   4] [  0  12 259  50   3   0   0] [  0   3  34 410   7   0   3] [  0   2   6  20 137   7   0] [  0   1   2   1   3 222  10] [  0   1   4   2   1  13 323]],48.19
