Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.3323,0.5091,1.1749,0.5833,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,722,0.9667,0.6333,0.8893,0.6612,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1700,0.8089,0.6967,0.764,0.6934,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,2137,0.7059,0.7376,0.7115,0.7247,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,2285,0.6512,0.7551,0.6827,0.737,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,2340,0.6581,0.7519,0.6746,0.748,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,3149,0.6617,0.7517,0.7018,0.7207,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2308,0.5534,0.7904,0.6744,0.7454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,2870,0.5315,0.8037,0.5784,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,3083,0.488,0.8181,0.5847,0.7767,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,2890,0.4892,0.8207,0.6206,0.7806,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,3023,0.4663,0.8231,0.6377,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,2982,0.4448,0.833,0.5053,0.8062,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,3174,0.4361,0.8366,0.6008,0.7626,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3160,0.4286,0.8451,0.6246,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3306,0.4234,0.8479,0.5364,0.789,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3452,0.3974,0.8498,0.5181,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3695,0.3797,0.8602,0.5242,0.807,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3178,0.3818,0.8571,0.4908,0.8137,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
