Epoch,Number_of_Unlabed_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,None,1.1545,0.5494,0.9913,0.637,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,1744,0.747,0.7124,0.8136,0.6877,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,1369,0.6908,0.7313,0.7185,0.7242,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,1861,0.5821,0.7736,0.6088,0.7626,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,1889,0.5356,0.794,0.6232,0.7749,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,2103,0.4997,0.8102,0.7203,0.7282,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,2162,0.4774,0.8187,0.6425,0.7498,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,2030,0.4616,0.8224,0.5649,0.7815,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,1954,0.4086,0.8434,0.5383,0.7912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,2594,0.3784,0.8581,0.5035,0.8145,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,2606,0.3614,0.8629,0.5168,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,2720,0.3408,0.8721,0.7217,0.7714,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,2875,0.3559,0.8648,0.5635,0.8066,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,3250,0.3034,0.8872,0.5282,0.8088,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,3446,0.2943,0.8921,0.4446,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,3634,0.2895,0.888,0.4592,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,3364,0.2635,0.898,0.5296,0.8115,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,3119,0.2684,0.9003,0.4762,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,3733,0.2252,0.9139,0.3924,0.8489,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,3552,0.2124,0.9204,0.4667,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,3712,0.2331,0.9144,0.4395,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,3865,0.2074,0.9217,0.4489,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,3702,0.2169,0.9174,0.469,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,4186,0.2042,0.9225,0.4319,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,4029,0.1976,0.924,0.4664,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,3943,0.1925,0.9313,0.5095,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,4143,0.1843,0.9329,0.4401,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,4200,0.1611,0.9395,0.4329,0.8507,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,4328,0.1699,0.9373,0.4285,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,4058,0.0886,0.9716,0.3102,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,4812,0.0584,0.9816,0.3152,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,4952,0.0498,0.9853,0.3171,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,5026,0.0472,0.9867,0.3173,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,5058,0.0429,0.9873,0.3283,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,5145,0.0389,0.9896,0.3365,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,5205,0.0369,0.9899,0.34,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,5229,0.0378,0.9885,0.3427,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,5266,0.033,0.9908,0.3565,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,5274,0.0336,0.9917,0.352,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,5347,0.0301,0.9921,0.3525,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,5384,0.0294,0.9917,0.3539,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,5394,0.029,0.9921,0.3616,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,5430,0.0265,0.9926,0.3762,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,5482,0.027,0.9933,0.3784,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,5483,0.0251,0.9929,0.3764,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,5526,0.0216,0.9949,0.3767,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
47,5567,0.0221,0.9944,0.3815,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
48,5575,0.0231,0.9947,0.3808,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
49,5599,0.0236,0.9934,0.3932,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
50,5634,0.0213,0.9951,0.3948,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
51,5669,0.0229,0.9938,0.391,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
52,5671,0.0214,0.994,0.4005,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
53,5695,0.0218,0.994,0.3933,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
54,5700,0.0184,0.9959,0.4136,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
55,5745,0.0204,0.9935,0.4113,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
56,5738,0.0184,0.9948,0.4051,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
57,5752,0.0173,0.9958,0.4036,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
58,5767,0.0182,0.9954,0.4047,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
59,5794,0.0165,0.9958,0.4066,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
60,5824,0.0156,0.9965,0.4012,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
61,5821,0.0132,0.9977,0.4009,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
62,5832,0.0153,0.9966,0.4065,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
63,5837,0.0142,0.9968,0.4049,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
64,5841,0.0145,0.9966,0.4048,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
65,5840,0.0138,0.997,0.4007,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
66,5837,0.0137,0.997,0.4005,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
67,5826,0.0124,0.9977,0.4006,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
68,5837,0.0124,0.9977,0.4086,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
69,5848,0.0136,0.9975,0.4103,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
70,5859,0.0145,0.9966,0.4014,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
71,5840,0.0132,0.9976,0.3993,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
72,5863,0.0123,0.9972,0.4034,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
73,5859,0.0124,0.9975,0.3987,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
74,5867,0.0139,0.9965,0.4074,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
75,5882,0.0131,0.9973,0.4126,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
76,5876,0.0117,0.998,0.4127,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
77,5894,0.0137,0.9966,0.4054,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
78,5877,0.014,0.9968,0.4048,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
79,5872,0.0115,0.9978,0.4027,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
80,5876,0.0139,0.9966,0.4078,0.8974,0.3567,0.8912,0.894,0.8825,0.8877,0.9565,0.9049,0.787,0.8993,0.7907,0.8912,0.9477,[[330  14   0   1   0   0   0] [ 13 352  22   1   0   0   1] [  0  20 255  47   2   0   0] [  0   2  32 411   9   1   2] [  0   1   8  21 136   5   1] [  1   1   5   2   8 213   9] [  1   3   5   2   2   5 326]],48.19
