Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.2315,0.5403,0.861,0.6767,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,0.9391,0.6377,0.863,0.7013,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,0.8276,0.6808,0.7809,0.6925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,0.7591,0.7064,0.6403,0.7537,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,0.6972,0.7311,0.6868,0.7242,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,0.6531,0.7474,0.5893,0.77,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,0.6251,0.7617,0.6023,0.7661,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,0.5957,0.7749,0.5649,0.7833,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,0.5882,0.7771,0.597,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,0.5498,0.7884,0.5579,0.7943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,0.5442,0.794,0.5044,0.8137,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,0.5235,0.8013,0.5294,0.8137,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,0.4956,0.8119,0.5209,0.7978,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,0.4943,0.8099,0.4677,0.8093,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,0.47,0.8182,0.4745,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,0.4576,0.8241,0.4495,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,0.4589,0.8244,0.4897,0.8022,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,0.4319,0.8323,0.387,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,0.4311,0.8328,0.4876,0.8216,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,0.4079,0.8483,0.4867,0.8106,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,0.4135,0.8412,0.4468,0.8176,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,0.3863,0.8503,0.4629,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,0.396,0.8484,0.4785,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,0.3826,0.8522,0.4474,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,0.3742,0.8536,0.3713,0.8568,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,0.3677,0.8612,0.4261,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,0.3588,0.8606,0.4617,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,0.362,0.8608,0.5326,0.8009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,0.3437,0.8652,0.5007,0.8035,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,0.249,0.9052,0.2842,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,0.2136,0.9161,0.2912,0.8841,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,0.2046,0.9254,0.2786,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,0.1911,0.9285,0.2706,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,0.1875,0.9267,0.2734,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,0.179,0.9328,0.2756,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,0.1785,0.9312,0.2709,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,0.1693,0.9339,0.2794,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,0.1661,0.9366,0.2773,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,0.1613,0.937,0.2889,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,0.1654,0.9374,0.2858,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,0.152,0.9413,0.2895,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,0.1502,0.9423,0.2944,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,0.1466,0.9443,0.2734,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,0.1381,0.9479,0.2904,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,0.1372,0.9476,0.289,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,0.1304,0.9482,0.2934,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
47,0.1306,0.9492,0.2784,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
48,0.1245,0.9528,0.3124,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
49,0.1227,0.954,0.2891,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
50,0.1218,0.9529,0.3014,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
51,0.1202,0.955,0.2944,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
52,0.1119,0.9581,0.3061,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
53,0.1112,0.958,0.3062,0.8899,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
54,0.1032,0.9632,0.3113,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
55,0.1014,0.9621,0.2981,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
56,0.1019,0.9614,0.3091,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
57,0.0928,0.9658,0.3341,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
