Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.3185,0.5216,1.5863,0.5965,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
2,1.0157,0.6171,1.0055,0.6498,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
3,0.8687,0.6644,0.7707,0.7018,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
4,0.7972,0.6918,0.7088,0.7286,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
5,0.7372,0.7174,0.6569,0.7507,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
6,0.7154,0.7253,0.6542,0.7427,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
7,0.6552,0.7453,0.6333,0.7502,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
8,0.6355,0.7603,0.716,0.7322,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
9,0.5963,0.7722,0.5924,0.7775,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
10,0.59,0.7751,0.5073,0.8031,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
11,0.5681,0.7789,0.4926,0.8026,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
12,0.5369,0.7992,0.5182,0.804,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
13,0.5431,0.7914,0.521,0.7991,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
14,0.5126,0.8049,0.5233,0.7996,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
15,0.5009,0.8084,0.4657,0.8233,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
16,0.4748,0.8218,0.5054,0.811,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
17,0.4782,0.8166,0.4595,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
18,0.475,0.8163,0.5124,0.8009,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
19,0.4594,0.8218,0.5804,0.7863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
20,0.439,0.8336,0.4342,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
21,0.4349,0.8319,0.4874,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
22,0.4168,0.8369,0.4838,0.8106,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
23,0.4224,0.84,0.5117,0.807,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
24,0.4007,0.847,0.439,0.8304,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
25,0.4045,0.8438,0.4351,0.8225,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
26,0.3947,0.851,0.4933,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
27,0.3832,0.8521,0.4556,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
28,0.3785,0.8552,0.4509,0.8313,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
29,0.3685,0.8601,0.4544,0.8189,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
30,0.2611,0.8985,0.3075,0.8837,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
31,0.2352,0.9113,0.3106,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
32,0.2264,0.9123,0.305,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
33,0.2168,0.9146,0.2961,0.8903,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
34,0.1995,0.9241,0.2955,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
35,0.1988,0.9234,0.3116,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
36,0.1905,0.9267,0.2996,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
37,0.1838,0.9287,0.3072,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
38,0.1897,0.9244,0.3064,0.8846,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
39,0.1761,0.9306,0.3139,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
40,0.1755,0.9339,0.3156,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
41,0.1678,0.9349,0.3159,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
42,0.1615,0.9388,0.336,0.8841,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
43,0.1669,0.9357,0.3235,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
44,0.1514,0.9407,0.3116,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
45,0.1493,0.9425,0.3258,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
46,0.1457,0.9436,0.3291,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
47,0.1385,0.9467,0.3208,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
48,0.1403,0.9464,0.3314,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
49,0.1283,0.9511,0.3251,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
50,0.1303,0.9495,0.348,0.8899,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
51,0.1294,0.9505,0.3567,0.8811,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
52,0.1145,0.9568,0.325,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
53,0.12,0.9533,0.3447,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
54,0.1155,0.9573,0.3197,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
55,0.1115,0.9597,0.3407,0.8806,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
56,0.1082,0.9604,0.3542,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
57,0.1016,0.964,0.3348,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
58,0.0981,0.9636,0.3565,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
59,0.0974,0.9617,0.3523,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
60,0.0793,0.971,0.3344,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
61,0.0714,0.9756,0.3337,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
62,0.0722,0.9766,0.3322,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
63,0.0696,0.9777,0.3383,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
64,0.0657,0.9788,0.3367,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
65,0.06,0.9817,0.3355,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
66,0.061,0.9809,0.3388,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
67,0.0602,0.9813,0.341,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
68,0.0601,0.9826,0.3417,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
69,0.0616,0.9799,0.3404,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
70,0.0613,0.9796,0.3372,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
71,0.0581,0.9809,0.345,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
72,0.0577,0.9821,0.334,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
73,0.0614,0.9811,0.3438,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
74,0.0558,0.982,0.3436,0.8916,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
75,0.0556,0.9822,0.3409,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
76,0.0536,0.9834,0.3434,0.8947,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
77,0.0562,0.9822,0.3515,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
78,0.0584,0.9806,0.357,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
79,0.0572,0.9823,0.3497,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,48.19
80,0.0514,0.9851,0.3481,0.8938,0.3296,0.8841,0.8912,0.8748,0.8812,0.9652,0.8689,0.7994,0.8884,0.75,0.9038,0.9477,[[333  10   0   1   0   0   1]  [ 24 338  24   2   0   0   1]  [  0  20 259  41   2   2   0]  [  0   2  42 406   4   1   2]  [  0   1  11  22 129   9   0]  [  0   0   5   1   3 216  14]  [  0   0   3   6   0   9 326]],48.19
