Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.7305,0.4468,1.2546,0.4974,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
2,1.0226,0.596,0.9278,0.6229,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
3,0.8805,0.6466,0.7654,0.7013,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
4,0.8015,0.6819,0.7546,0.6934,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
5,0.758,0.7022,0.7244,0.7141,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
6,0.7204,0.713,0.7843,0.7009,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
7,0.682,0.7287,0.7085,0.7194,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
8,0.6563,0.7443,0.6312,0.7454,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
9,0.6327,0.7481,0.6378,0.7432,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
10,0.6099,0.7622,0.7384,0.7163,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
11,0.5933,0.7659,0.6459,0.748,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
12,0.5728,0.7703,0.5903,0.77,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
13,0.5524,0.7834,0.6271,0.7498,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
14,0.5588,0.7778,0.5298,0.7934,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
15,0.5322,0.7934,0.5716,0.7727,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
16,0.5169,0.7933,0.5933,0.7696,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
17,0.5165,0.793,0.5333,0.7894,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
18,0.499,0.8017,0.5647,0.7859,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
19,0.4853,0.8066,0.5644,0.7833,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
20,0.4834,0.8076,0.5846,0.778,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
21,0.4781,0.8123,0.5264,0.7978,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
22,0.4745,0.8119,0.561,0.7819,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
23,0.4545,0.82,0.709,0.7445,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
24,0.4596,0.8203,0.5452,0.7824,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
25,0.4319,0.8311,0.5241,0.7956,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
26,0.4325,0.8331,0.5195,0.8013,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
27,0.4338,0.8265,0.5263,0.8035,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
28,0.4179,0.8352,0.5442,0.807,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
29,0.4151,0.8375,0.5073,0.8119,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
30,0.3207,0.8734,0.454,0.8313,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
31,0.2862,0.8864,0.4427,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
32,0.2771,0.891,0.448,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
33,0.2748,0.8944,0.4533,0.8449,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
34,0.2664,0.8952,0.4518,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
35,0.2631,0.8969,0.4602,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
36,0.2664,0.8933,0.4476,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
37,0.2582,0.9025,0.4769,0.826,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
38,0.2488,0.9047,0.4745,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
39,0.25,0.9019,0.4831,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
40,0.2439,0.9057,0.4587,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
41,0.244,0.9045,0.4627,0.8441,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
42,0.2364,0.9082,0.4719,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
43,0.236,0.907,0.4721,0.8401,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
44,0.2349,0.9071,0.4693,0.8445,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
45,0.2286,0.9137,0.4686,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
46,0.2288,0.9087,0.4666,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
47,0.2242,0.912,0.501,0.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
48,0.2235,0.9124,0.4789,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
49,0.2197,0.9157,0.4896,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
50,0.2124,0.9163,0.4871,0.8458,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
