Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.7643,0.4467,1.0867,0.593,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
2,1.0332,0.5988,0.8703,0.6604,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
3,0.905,0.641,0.8812,0.6533,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
4,0.8306,0.6736,0.7489,0.6987,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
5,0.7836,0.6919,0.7478,0.6996,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
6,0.7308,0.7134,0.7301,0.7216,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
7,0.7196,0.7174,0.6408,0.7537,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
8,0.6679,0.7331,0.6241,0.763,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
9,0.6444,0.7514,0.6872,0.726,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
10,0.6257,0.7574,0.5991,0.763,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
11,0.5995,0.765,0.6522,0.7533,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
12,0.5933,0.7678,0.5934,0.7683,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
13,0.5832,0.7687,0.6001,0.7718,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
14,0.5684,0.7745,0.6073,0.7652,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
15,0.5336,0.7874,0.5677,0.7881,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
16,0.5249,0.792,0.5542,0.7859,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
17,0.5216,0.7948,0.5722,0.7824,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
18,0.5144,0.7919,0.567,0.7841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
19,0.4984,0.801,0.6224,0.7705,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
20,0.4979,0.8039,0.5115,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
21,0.4807,0.8087,0.5489,0.785,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
22,0.4721,0.8137,0.5313,0.7916,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
23,0.4531,0.8216,0.5749,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
24,0.4561,0.8177,0.5578,0.7899,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
25,0.4595,0.8168,0.5295,0.7877,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
26,0.4475,0.8233,0.5002,0.8119,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
27,0.4289,0.8295,0.5775,0.7885,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
28,0.4327,0.8298,0.5656,0.7912,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
29,0.427,0.8313,0.511,0.8026,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
30,0.3171,0.8731,0.4424,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
31,0.2905,0.8857,0.4318,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
32,0.2837,0.8846,0.4366,0.8436,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
33,0.2816,0.8877,0.4357,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
34,0.2741,0.8886,0.4376,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
35,0.2669,0.8966,0.4409,0.8454,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
36,0.2711,0.8929,0.4525,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
37,0.2592,0.8983,0.4455,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
38,0.2601,0.8972,0.4482,0.8441,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
39,0.2593,0.8976,0.4472,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
40,0.2469,0.9042,0.4434,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
41,0.2495,0.9023,0.455,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
42,0.2415,0.9032,0.4427,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
43,0.2414,0.9061,0.4547,0.8471,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
44,0.2433,0.9058,0.4496,0.8441,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
45,0.2385,0.9051,0.4561,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
46,0.2422,0.9046,0.4437,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
47,0.2317,0.9096,0.4535,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
48,0.2304,0.911,0.4651,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
49,0.2284,0.9114,0.4631,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
50,0.2227,0.9115,0.4597,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
51,0.2224,0.9132,0.472,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
52,0.2217,0.9124,0.5063,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
53,0.214,0.9147,0.4638,0.8441,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
54,0.2164,0.9167,0.4667,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
55,0.2117,0.9149,0.4709,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
56,0.2181,0.915,0.4567,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
57,0.2111,0.9169,0.4829,0.8423,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
58,0.2125,0.9154,0.4774,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
59,0.2142,0.9143,0.4639,0.8537,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
60,0.1866,0.9255,0.4538,0.8524,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
61,0.1753,0.9341,0.4577,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
62,0.1698,0.9367,0.4616,0.8537,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
63,0.1709,0.9334,0.4678,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
64,0.1704,0.9347,0.471,0.8498,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
65,0.1725,0.9333,0.472,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
66,0.1737,0.932,0.477,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
67,0.171,0.9357,0.48,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
68,0.1726,0.9345,0.4779,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
69,0.1712,0.9342,0.4823,0.8515,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
70,0.1683,0.9364,0.4834,0.8511,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
71,0.1666,0.9359,0.4868,0.852,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
72,0.1669,0.9353,0.4883,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
73,0.1659,0.9352,0.488,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
74,0.1664,0.9354,0.4935,0.8463,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
75,0.1649,0.9386,0.4949,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
76,0.1684,0.9372,0.4984,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
77,0.162,0.9409,0.4948,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
78,0.1643,0.9386,0.4935,0.8476,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
79,0.1652,0.9369,0.4979,0.8493,None,None,None,None,None,None,None,None,None,None,None,None,None,85.8
