Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.1438,0.5526,0.9609,0.6273,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
2,0.8803,0.658,0.803,0.6802,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
3,0.8162,0.6815,0.84,0.6736,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
4,0.7708,0.6962,0.897,0.6656,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
5,0.7223,0.7185,0.8508,0.6872,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
6,0.6967,0.7341,0.611,0.7639,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
7,0.6632,0.7402,0.5722,0.778,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
8,0.6379,0.7489,0.6733,0.741,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
9,0.6191,0.7563,0.7053,0.7515,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
10,0.6063,0.7602,0.6093,0.7731,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
11,0.5855,0.769,0.5832,0.7758,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
12,0.5711,0.7789,0.5519,0.7811,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
13,0.5707,0.7806,0.5402,0.7789,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
14,0.5628,0.7832,0.5655,0.7744,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
15,0.5573,0.7825,0.5017,0.8031,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
16,0.5413,0.7899,0.5788,0.7736,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
17,0.5328,0.796,0.494,0.8057,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
18,0.5288,0.7917,0.4652,0.822,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
19,0.5081,0.8064,0.5006,0.8031,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
20,0.5021,0.8029,0.5325,0.7943,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
21,0.4962,0.8039,0.4279,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
22,0.4815,0.8147,0.5225,0.8053,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
23,0.4882,0.8106,0.4917,0.8062,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
24,0.4891,0.8097,0.4736,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
25,0.4696,0.8173,0.6637,0.7445,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
26,0.4678,0.818,0.4295,0.8348,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
27,0.4537,0.8232,0.4456,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
28,0.4609,0.8189,0.4235,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
29,0.4465,0.8253,0.4844,0.8062,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
30,0.3509,0.864,0.3286,0.8656,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
31,0.327,0.8722,0.3165,0.8683,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
32,0.3138,0.878,0.319,0.8714,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
33,0.3132,0.8775,0.3156,0.8806,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
34,0.3073,0.8782,0.3115,0.8705,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
35,0.3044,0.8805,0.316,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
36,0.3032,0.8776,0.3053,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
37,0.2884,0.8845,0.3047,0.8797,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
38,0.2906,0.8843,0.3076,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
39,0.2915,0.8846,0.3038,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
40,0.2859,0.8882,0.3037,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
41,0.2811,0.8899,0.2996,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
42,0.2786,0.8891,0.3097,0.8758,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
43,0.2904,0.8842,0.3167,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
44,0.2769,0.8908,0.3008,0.8753,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
45,0.274,0.891,0.3052,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
46,0.2766,0.8913,0.3332,0.8683,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
47,0.2701,0.894,0.3235,0.8696,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
48,0.2648,0.8961,0.3131,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
49,0.2697,0.8928,0.2979,0.8784,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
50,0.2626,0.8959,0.297,0.878,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
51,0.2699,0.8942,0.3085,0.8714,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
52,0.2543,0.8986,0.2945,0.8811,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
53,0.2616,0.8967,0.2905,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
54,0.2565,0.8983,0.3091,0.8709,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
55,0.2534,0.902,0.296,0.8815,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
56,0.2548,0.8993,0.3408,0.863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
57,0.252,0.9027,0.3245,0.8674,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
58,0.2473,0.9028,0.2981,0.8762,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
59,0.2486,0.9007,0.2998,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
60,0.2304,0.9108,0.2809,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
61,0.2302,0.9098,0.281,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
62,0.2265,0.9105,0.2805,0.8877,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
63,0.2179,0.9164,0.2835,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
64,0.2209,0.9146,0.2802,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
65,0.2162,0.9151,0.2805,0.885,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
66,0.2196,0.9154,0.2801,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
67,0.217,0.9171,0.2782,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
68,0.2168,0.9137,0.2773,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
69,0.2112,0.9181,0.2796,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
70,0.2122,0.9183,0.2793,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
71,0.2117,0.9174,0.2794,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
72,0.215,0.9152,0.2758,0.8894,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
73,0.2101,0.9222,0.279,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
74,0.2177,0.9145,0.2792,0.8912,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
75,0.2135,0.9167,0.2821,0.8855,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
76,0.2084,0.9201,0.2763,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
77,0.2128,0.916,0.2801,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
78,0.2078,0.9222,0.2794,0.889,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
79,0.2164,0.9155,0.2802,0.8868,None,None,None,None,None,None,None,None,None,None,None,None,None,6.32
80,0.2104,0.92,0.2779,0.8881,0.3116,0.8841,0.8811,0.8774,0.8791,0.9594,0.8895,0.7778,0.8665,0.7733,0.9163,0.9593,[[331  13   0   1   0   0   0]  [ 16 346  22   1   0   4   0]  [  0  16 252  47   6   3   0]  [  0   1  35 396  19   2   4]  [  0   1   7  25 133   4   2]  [  0   0   2   2   5 219  11]  [  0   1   2   2   0   9 330]],6.32
