Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,3.8413,0.1791,1.9068,0.2013,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
2,1.9134,0.1897,1.8822,0.2013,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
3,1.7995,0.2719,1.6102,0.3313,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
4,1.4398,0.4027,1.3126,0.4767,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
5,1.2962,0.484,1.2371,0.5256,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
6,1.183,0.5328,1.2473,0.4947,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
7,1.0756,0.5689,1.0012,0.6172,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
8,1.0308,0.5868,1.0263,0.6035,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
9,0.9951,0.6037,0.9738,0.6357,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
10,0.9756,0.6094,0.9251,0.6374,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
11,0.9259,0.6322,0.8579,0.6678,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
12,0.8746,0.6577,0.8458,0.6604,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
13,0.8168,0.6773,0.7951,0.6938,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
14,0.7827,0.6861,0.7478,0.6991,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
15,0.7461,0.7043,0.6812,0.7238,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
16,0.7149,0.7178,0.7061,0.7207,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
17,0.684,0.7313,0.6341,0.7489,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
18,0.6658,0.7368,0.6499,0.7322,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
19,0.6501,0.7436,0.6781,0.7471,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
20,0.6331,0.7482,0.6332,0.7502,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
21,0.611,0.7561,0.6,0.759,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
22,0.6333,0.7454,0.5952,0.7661,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
23,0.6034,0.7642,0.6242,0.7405,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
24,0.6084,0.761,0.6129,0.7546,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
25,0.584,0.7688,0.5496,0.7793,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
26,0.5686,0.7731,0.5928,0.7665,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
27,0.5707,0.7694,0.6133,0.7507,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
28,0.5554,0.7808,0.5545,0.7819,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
29,0.5544,0.7786,0.5067,0.7991,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
30,0.4467,0.8235,0.4685,0.8137,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
31,0.4336,0.8275,0.4521,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
32,0.426,0.83,0.4617,0.8207,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
33,0.4207,0.834,0.4574,0.8132,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
34,0.4163,0.8355,0.45,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
35,0.4105,0.8347,0.4542,0.8176,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
36,0.4099,0.8362,0.4722,0.807,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
37,0.4039,0.8416,0.4466,0.822,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
38,0.4033,0.8388,0.4541,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
39,0.4007,0.8399,0.4507,0.8203,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
40,0.397,0.8422,0.4428,0.8211,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
41,0.3935,0.8421,0.455,0.8194,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
42,0.3946,0.8431,0.476,0.8079,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
43,0.3885,0.8461,0.437,0.8273,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
44,0.3866,0.8451,0.4398,0.8229,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
45,0.3828,0.8483,0.4783,0.8062,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
46,0.3826,0.8448,0.4441,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
47,0.3765,0.8506,0.433,0.8322,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
48,0.3741,0.8487,0.4359,0.8269,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
49,0.3759,0.8512,0.4386,0.8313,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
50,0.3795,0.848,0.4648,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
51,0.3652,0.8547,0.4393,0.8273,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
52,0.3682,0.8505,0.4356,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
53,0.3655,0.8526,0.4422,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
54,0.3643,0.8534,0.4377,0.8242,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
55,0.3598,0.8573,0.4641,0.8181,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
56,0.3559,0.8592,0.4376,0.8211,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
57,0.3558,0.8564,0.4361,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
58,0.356,0.8596,0.4286,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
59,0.3479,0.864,0.4587,0.8185,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
60,0.3193,0.8725,0.4188,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
61,0.3154,0.8736,0.4209,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
62,0.3168,0.875,0.4184,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
63,0.3186,0.8758,0.4173,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
64,0.312,0.8774,0.4197,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
65,0.3116,0.8752,0.4176,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
66,0.313,0.8755,0.422,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
67,0.3079,0.8746,0.429,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
68,0.3113,0.8742,0.4201,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
69,0.3099,0.8778,0.4216,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
70,0.3089,0.8779,0.4239,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
71,0.3099,0.8746,0.4258,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
72,0.3054,0.8789,0.4251,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
73,0.308,0.876,0.4267,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
74,0.305,0.8779,0.4225,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
75,0.3037,0.8795,0.423,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
76,0.3081,0.8816,0.4331,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
77,0.3056,0.8792,0.425,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
78,0.3041,0.8792,0.4263,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
79,0.307,0.8785,0.4259,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
80,0.3018,0.8802,0.4289,0.837,0.4389,0.8401,0.8292,0.8218,0.8244,0.971,0.8329,0.7901,0.8162,0.5756,0.8368,0.9302,[[335   9   1   0   0   0   0]  [ 26 324  34   1   0   2   2]  [  0  19 256  36  10   2   1]  [  0   4  50 373  24   2   4]  [  0   1  22  40  99  10   0]  [  0   1   3   7  16 200  12]  [  1   4   2   3   1  13 320]],87.57
