Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,3.5831,0.3112,1.3431,0.507,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
2,1.2389,0.5103,1.0844,0.5855,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
3,1.0854,0.5668,1.0348,0.5982,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
4,1.0346,0.5901,0.9686,0.6198,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
5,0.9898,0.6134,0.9547,0.626,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
6,0.9507,0.6245,0.8751,0.6419,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
7,0.9145,0.6348,0.8817,0.6441,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
8,0.8958,0.6471,0.8281,0.6709,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
9,0.8513,0.6643,0.8077,0.6903,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
10,0.8318,0.6682,0.77,0.696,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
11,0.7831,0.6863,0.7788,0.6841,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
12,0.7534,0.6983,0.6968,0.7295,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
13,0.7137,0.7177,0.6488,0.7366,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
14,0.6745,0.7323,0.6649,0.7419,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
15,0.6792,0.7306,0.6924,0.7198,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
16,0.6621,0.7414,0.6456,0.7313,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
17,0.6349,0.752,0.6079,0.7568,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
18,0.6369,0.75,0.5775,0.7692,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
19,0.6082,0.7596,0.58,0.7718,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
20,0.5971,0.7658,0.5876,0.7634,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
21,0.5957,0.7671,0.5561,0.7753,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
22,0.5785,0.7719,0.6082,0.759,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
23,0.5788,0.7728,0.4986,0.7974,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
24,0.5606,0.776,0.5585,0.7771,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
25,0.5615,0.778,0.5802,0.7683,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
26,0.548,0.7803,0.5558,0.7753,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
27,0.5549,0.7834,0.5434,0.7819,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
28,0.5328,0.7896,0.5391,0.7881,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
29,0.527,0.7914,0.5467,0.7815,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
30,0.4258,0.8375,0.4477,0.8141,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
31,0.4037,0.8402,0.423,0.8269,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
32,0.3971,0.8438,0.4276,0.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
33,0.3931,0.844,0.4353,0.8238,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
34,0.3863,0.852,0.4359,0.8176,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
35,0.3843,0.8475,0.4495,0.8167,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
36,0.3817,0.8488,0.4194,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
37,0.3764,0.8526,0.4157,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
38,0.3737,0.8552,0.4052,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
39,0.374,0.854,0.405,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
40,0.3684,0.8577,0.4276,0.8264,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
41,0.3684,0.8542,0.4087,0.8396,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
42,0.3673,0.8555,0.4125,0.8317,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
43,0.3596,0.8596,0.4108,0.8361,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
44,0.3616,0.8627,0.4135,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
45,0.3575,0.8603,0.4209,0.83,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
46,0.3555,0.8591,0.391,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
47,0.3527,0.8637,0.4076,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
48,0.3489,0.8631,0.3905,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
49,0.3421,0.8661,0.4031,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
50,0.3437,0.866,0.4279,0.8256,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
51,0.3432,0.866,0.4016,0.8383,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
52,0.3419,0.8621,0.3944,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
53,0.3352,0.8671,0.4035,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
54,0.3367,0.8674,0.4,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
55,0.3297,0.8698,0.4222,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,87.57
