Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter
1,1.3583,0.4788,1.1303,0.5722,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
2,1.0837,0.5738,0.9372,0.6436,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
3,0.9745,0.621,0.9548,0.6282,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
4,0.8942,0.6567,0.8232,0.6811,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
5,0.8308,0.6783,0.744,0.7022,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
6,0.797,0.6871,0.7646,0.7004,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
7,0.7566,0.702,0.7311,0.7203,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
8,0.7263,0.7179,0.6543,0.7485,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
9,0.719,0.7225,0.6303,0.7493,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
10,0.6971,0.7273,0.6864,0.7304,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
11,0.6859,0.7273,0.619,0.7604,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
12,0.6733,0.7377,0.6283,0.7577,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
13,0.6705,0.7428,0.6399,0.752,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
14,0.6445,0.7462,0.6232,0.752,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
15,0.6328,0.7519,0.6059,0.7639,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
16,0.6148,0.7581,0.6078,0.7581,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
17,0.5985,0.7714,0.5609,0.7846,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
18,0.5993,0.7685,0.5871,0.7639,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
19,0.5789,0.7717,0.6242,0.7621,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
20,0.5806,0.7746,0.6171,0.7604,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
21,0.5815,0.7738,0.5852,0.7714,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
22,0.5815,0.7728,0.641,0.7493,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
23,0.5584,0.7854,0.534,0.7982,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
24,0.5476,0.7831,0.6167,0.7542,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
25,0.5534,0.7841,0.5325,0.7784,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
26,0.5348,0.7924,0.5099,0.7907,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
27,0.5347,0.7911,0.5857,0.7731,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
28,0.525,0.799,0.528,0.7797,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
29,0.5358,0.7871,0.5609,0.7863,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
30,0.4377,0.8295,0.4477,0.8242,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
31,0.4109,0.8405,0.4336,0.8273,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
32,0.4101,0.8379,0.4432,0.8211,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
33,0.399,0.8468,0.425,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
34,0.4048,0.8373,0.4208,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
35,0.3977,0.8485,0.4167,0.8291,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
36,0.3932,0.8482,0.4275,0.8286,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
37,0.3897,0.8476,0.4205,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
38,0.3806,0.8505,0.421,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
39,0.3891,0.8435,0.4189,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
40,0.3866,0.8505,0.4146,0.8295,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
41,0.3804,0.8513,0.4236,0.8344,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
42,0.3717,0.8542,0.4131,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
43,0.3787,0.8541,0.4124,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
44,0.3717,0.8536,0.4058,0.833,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
45,0.3708,0.8544,0.4044,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
46,0.3752,0.8516,0.4079,0.8339,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
47,0.3676,0.8548,0.4066,0.8326,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
48,0.3699,0.8551,0.4128,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
49,0.3624,0.859,0.4046,0.8396,None,None,None,None,None,None,None,None,None,None,None,None,None,27.52
