Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
1,None,1.1645,0.5543,0.9045,0.6352,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
2,993,0.9046,0.6541,0.8832,0.6564,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
3,1697,0.7168,0.724,0.864,0.6775,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
4,1971,0.6722,0.7455,0.611,0.7595,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
5,2374,0.6121,0.7731,0.6384,0.7502,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
6,2448,0.5727,0.7842,0.6367,0.7797,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
7,2417,0.5309,0.7993,0.5261,0.7982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
8,2597,0.4741,0.8239,0.4806,0.8123,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
9,3098,0.4416,0.8358,0.5289,0.8066,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
10,3402,0.4401,0.8376,0.6489,0.7595,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
11,2874,0.4346,0.8381,0.5084,0.8115,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
12,2932,0.4044,0.8498,0.6133,0.7965,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
13,3473,0.3972,0.8583,0.4267,0.841,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
14,3303,0.3677,0.8655,0.5635,0.8132,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
15,3415,0.4234,0.8511,1.2445,0.8075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
16,3822,0.3897,0.8598,0.4068,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
17,3659,0.34,0.873,0.5071,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
18,3916,0.3282,0.8758,0.415,0.8467,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
19,4131,0.3107,0.8866,0.4226,0.8335,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
20,3713,0.3322,0.8778,0.5596,0.8084,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
21,3572,0.3316,0.8727,0.4597,0.8189,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
22,3750,0.3237,0.8818,0.4677,0.8374,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
23,4012,0.3169,0.8844,0.394,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
24,4168,0.2857,0.8944,0.3699,0.8617,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
25,4403,0.2753,0.8971,0.3553,0.8775,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
26,4255,0.2784,0.8998,0.3412,0.8665,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
27,4339,0.2573,0.9055,0.3648,0.8692,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
28,4166,0.2631,0.9003,0.3284,0.8714,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
29,4526,0.2538,0.9062,0.3967,0.8581,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
30,4193,0.1873,0.9348,0.2904,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
31,4746,0.1537,0.9448,0.3022,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
32,4939,0.1533,0.9461,0.2659,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
33,5060,0.1398,0.9495,0.2736,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
34,5101,0.1348,0.951,0.3104,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
35,5121,0.1399,0.95,0.432,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
36,5163,0.1417,0.9492,0.3442,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
37,5181,0.1288,0.954,0.2927,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
38,5225,0.1273,0.9546,0.3023,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
39,5230,0.1282,0.9536,0.2752,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
40,5245,0.1169,0.9569,0.2747,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
41,5340,0.1152,0.9584,0.2747,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
42,5365,0.1152,0.9603,0.2713,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
43,5386,0.1163,0.9562,0.2742,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
44,5434,0.1092,0.959,0.2864,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
45,5433,0.1087,0.9592,0.2916,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
46,5419,0.1066,0.9617,0.2847,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
47,5453,0.1077,0.9623,0.3118,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
48,5440,0.1011,0.9623,0.3049,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
49,5499,0.1031,0.9628,0.2996,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
50,5464,0.1023,0.9622,0.285,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
51,5505,0.1012,0.9619,0.277,0.9101,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
52,5484,0.0967,0.9652,0.2863,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
53,5536,0.0937,0.9657,0.2927,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
54,5563,0.0924,0.9661,0.3133,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
