Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours,Latency
1,None,1.0754,0.5857,0.8995,0.6480,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
2,1455,0.7553,0.7125,0.7436,0.7132,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
3,1731,0.6229,0.7637,0.6655,0.7480,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
4,2092,0.5650,0.7843,0.8281,0.7004,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
5,2497,0.5123,0.8009,0.5828,0.7789,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
6,2892,0.4538,0.8310,0.5850,0.7841,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
7,3469,0.4303,0.8420,0.5092,0.7952,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
8,2754,0.3991,0.8481,0.5425,0.7987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
9,3067,0.3998,0.8491,0.5096,0.7974,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
10,3354,0.3611,0.8622,0.4632,0.8163,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
11,3389,0.3363,0.8723,0.5159,0.8018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
12,3719,0.3268,0.8776,0.4543,0.8247,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
13,3633,0.3040,0.8884,0.4326,0.8414,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
14,4038,0.3009,0.8893,0.4110,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
15,4212,0.2915,0.8911,0.4272,0.8392,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
16,4085,0.2872,0.8945,0.4807,0.8308,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
17,4244,0.2791,0.8958,0.4438,0.8419,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
18,4369,0.2645,0.9020,0.4069,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
19,4237,0.2404,0.9111,0.4420,0.8366,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
20,4161,0.2640,0.9028,0.3456,0.8652,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
21,4212,0.2304,0.9158,0.3969,0.8529,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
22,4608,0.2315,0.9115,0.3931,0.8573,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
23,4526,0.2193,0.9196,0.3698,0.8599,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
24,4399,0.2207,0.9172,0.3300,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
25,4563,0.2098,0.9202,0.3643,0.8648,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
26,4486,0.2053,0.9240,0.3715,0.8639,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
27,4723,0.2023,0.9256,0.3771,0.8551,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
28,4599,0.2104,0.9217,0.3227,0.8736,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
29,4747,0.1896,0.9325,0.3839,0.8502,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
30,4801,0.1280,0.9514,0.2633,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
31,5179,0.1021,0.9635,0.2666,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
32,5307,0.0949,0.9670,0.2643,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
33,5330,0.0855,0.9708,0.2691,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
34,5417,0.0826,0.9710,0.2735,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
35,5499,0.0792,0.9730,0.3014,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
36,5498,0.0771,0.9724,0.2847,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
37,5531,0.0756,0.9738,0.2848,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
38,5571,0.0701,0.9756,0.2958,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
39,5584,0.0679,0.9754,0.2893,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
40,5627,0.0700,0.9739,0.2974,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
41,5628,0.0685,0.9742,0.3020,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
42,5690,0.0678,0.9765,0.2944,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
43,5673,0.0655,0.9766,0.3139,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
44,5697,0.0594,0.9791,0.3060,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
45,5727,0.0637,0.9772,0.3108,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
46,5760,0.0608,0.9786,0.3067,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
47,5780,0.0612,0.9770,0.3347,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
48,5776,0.0582,0.9794,0.3233,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
49,5817,0.0538,0.9818,0.3216,0.9035,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
50,5830,0.0589,0.9784,0.3224,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
51,5840,0.0544,0.9802,0.3182,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
52,5864,0.0564,0.9799,0.3299,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
53,5859,0.0528,0.9826,0.3219,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
54,5874,0.0537,0.9809,0.3330,0.8965,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
55,5857,0.0525,0.9816,0.3388,0.8930,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
56,5908,0.0499,0.9826,0.3336,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
57,5919,0.0485,0.9831,0.3334,0.8996,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
58,5962,0.0498,0.9823,0.3343,0.9040,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
59,5945,0.0453,0.9841,0.3434,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
60,5976,0.0411,0.9860,0.3368,0.9097,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
61,5963,0.0386,0.9879,0.3381,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
62,6014,0.0391,0.9874,0.3432,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
63,6013,0.0386,0.9878,0.3401,0.9079,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
64,5997,0.0362,0.9888,0.3286,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
65,6019,0.0386,0.9882,0.3321,0.9097,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
66,6018,0.0388,0.9865,0.3348,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
67,6017,0.0371,0.9884,0.3360,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
68,6012,0.0354,0.9894,0.3378,0.9075,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
69,6022,0.0353,0.9893,0.3238,0.9123,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
70,6031,0.0360,0.9885,0.3306,0.9106,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
71,6013,0.0360,0.9888,0.3360,0.9106,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
72,6033,0.0354,0.9887,0.3330,0.9088,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
73,6030,0.0342,0.9882,0.3376,0.9097,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
74,6050,0.0335,0.9900,0.3518,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
75,6017,0.0348,0.9891,0.3342,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
76,6039,0.0362,0.9885,0.3429,0.9066,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
77,6041,0.0334,0.9898,0.3419,0.9088,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
78,6039,0.0339,0.9894,0.3371,0.9084,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
79,6054,0.0343,0.9891,0.3373,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None,None
