Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
1,None,1.1495,0.5633,0.9652,0.5965,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
2,974,0.8535,0.679,1.0589,0.5802,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
3,812,0.7857,0.6994,1.0095,0.6811,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
4,1740,0.7468,0.7257,0.8338,0.6828,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
5,1872,0.6176,0.7674,0.621,0.7643,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
6,2421,0.5566,0.7936,0.5645,0.7894,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
7,2383,0.5268,0.8033,0.7558,0.7784,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
8,2449,0.5922,0.7886,0.6685,0.7859,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
9,2800,0.4803,0.8192,0.756,0.7965,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
10,2749,0.4682,0.8258,0.503,0.8123,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
11,3001,0.4306,0.8395,0.4684,0.8211,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
12,3105,0.4236,0.8445,0.5357,0.7934,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
13,3250,0.3827,0.8605,0.5476,0.8057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
14,3605,0.3984,0.8516,0.4738,0.8229,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
15,3250,0.3699,0.8653,0.4075,0.8405,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
16,3703,0.3514,0.8715,0.5875,0.8115,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
17,3548,0.3519,0.8739,0.4238,0.8313,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
18,3872,0.3372,0.8742,0.4093,0.8445,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
19,4087,0.3191,0.8817,0.3803,0.8581,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
20,4132,0.3147,0.8851,0.4149,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
21,4053,0.2962,0.8883,0.3478,0.8674,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
22,4133,0.2886,0.8927,0.3952,0.8533,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
23,3945,0.2875,0.8961,0.3998,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
24,3957,0.3063,0.8837,0.333,0.8767,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
25,4251,0.2737,0.8972,0.4788,0.837,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
26,4365,0.2748,0.8977,0.4194,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
27,4469,0.2705,0.8985,0.3793,0.8727,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
28,4609,0.2626,0.9037,0.4691,0.8621,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
29,4570,0.2631,0.9024,0.4447,0.8621,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
30,4679,0.1822,0.9336,0.4966,0.8872,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
31,4834,0.1671,0.9426,0.5609,0.8881,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
32,4933,0.1591,0.9447,0.4005,0.8934,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
33,4988,0.1499,0.9478,0.439,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
34,5055,0.1486,0.9463,0.5008,0.8863,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
35,5110,0.1456,0.9491,1.2854,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
36,5140,0.1598,0.9439,0.6774,0.8828,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
37,5157,0.1407,0.9506,0.6677,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
38,5168,0.1366,0.95,0.6372,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
39,5205,0.1358,0.9511,0.4273,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
40,5251,0.1317,0.9525,0.4174,0.893,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
41,5279,0.1258,0.9555,0.4651,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
42,5337,0.118,0.9574,0.5105,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
43,5353,0.1199,0.9581,0.4284,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
44,5351,0.1129,0.9598,1.4438,0.8819,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
45,5356,0.1288,0.9545,1.0003,0.8797,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
46,5281,0.1248,0.9553,0.5811,0.8907,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
47,5323,0.1167,0.9563,0.4159,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
48,5387,0.1104,0.9595,0.4327,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
49,5409,0.1063,0.9626,0.3809,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
50,5482,0.1057,0.9616,0.4835,0.8921,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
51,5440,0.106,0.9607,0.3518,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
52,5491,0.103,0.9627,0.4078,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
53,5480,0.1022,0.9624,0.5835,0.8899,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
54,5518,0.1062,0.9604,0.5018,0.8885,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
55,5435,0.0969,0.9646,0.3984,0.8833,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
56,5475,0.0915,0.9665,0.3403,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
57,5588,0.0909,0.9675,0.3441,0.9026,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
58,5605,0.0875,0.9662,0.3865,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
59,5553,0.0903,0.9684,0.3474,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
60,5596,0.0758,0.9738,0.3913,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
61,5643,0.0749,0.9744,0.4716,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
62,5694,0.0717,0.9747,0.3671,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
63,5681,0.068,0.9764,0.7054,0.8956,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
