Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
1,None,1.469,0.5072,1.2895,0.5678,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
2,1258,1.0559,0.6431,0.8517,0.6828,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
3,1653,0.955,0.6746,0.761,0.7026,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
4,1847,0.8663,0.7002,0.6129,0.7559,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
5,2242,0.8081,0.724,0.6829,0.7401,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
6,2286,0.7738,0.739,0.6472,0.7405,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
7,2302,0.7032,0.7584,0.5272,0.7859,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
8,2322,0.6421,0.7812,0.5087,0.8057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
9,2503,0.6249,0.7847,0.5364,0.7921,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
10,2633,0.6067,0.7871,0.5071,0.8044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
11,3298,0.595,0.7943,0.5708,0.7797,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
12,3205,0.55,0.8086,0.4596,0.8207,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
13,3420,0.5426,0.8165,0.4504,0.8282,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
14,3505,0.5144,0.8234,0.3882,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
15,3492,0.4995,0.8304,0.3781,0.8471,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
16,3452,0.478,0.8353,0.4505,0.8225,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
17,3468,0.4673,0.8392,0.3797,0.8485,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
18,3570,0.4505,0.8432,0.6888,0.7515,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
19,3486,0.4388,0.8474,0.3839,0.848,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
20,3701,0.4332,0.8471,0.4108,0.8432,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
21,3684,0.4286,0.8513,0.4029,0.8352,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
22,3670,0.407,0.8582,0.4974,0.8207,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
23,3621,0.3881,0.8659,0.3711,0.8568,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
24,3755,0.4142,0.8562,0.3365,0.8687,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
25,3802,0.3833,0.8661,0.3362,0.8722,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
26,3868,0.3796,0.8691,0.454,0.8379,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
27,3719,0.3796,0.868,0.3231,0.8753,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
28,3794,0.3589,0.8772,0.4058,0.8388,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
29,4229,0.3661,0.8721,0.3729,0.8595,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
30,4502,0.2649,0.9122,0.2717,0.8938,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
31,4604,0.2304,0.9236,0.2717,0.8969,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
32,4667,0.2192,0.9233,0.2727,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
33,4664,0.2127,0.9265,0.2657,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
34,4879,0.2023,0.9298,0.2768,0.8982,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
35,4781,0.1949,0.9335,0.2654,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
36,4753,0.1942,0.9338,0.2697,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
37,4771,0.1881,0.9361,0.2734,0.8974,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
38,4801,0.1804,0.9401,0.2692,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
39,4965,0.1782,0.9377,0.2699,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
40,5005,0.1758,0.9386,0.279,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
41,4927,0.1672,0.944,0.2777,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
42,4923,0.1671,0.9442,0.2832,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
43,4929,0.1611,0.947,0.2714,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
44,4970,0.1621,0.9451,0.2815,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
45,5012,0.1572,0.9468,0.2769,0.896,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
46,4937,0.155,0.9495,0.2822,0.8952,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
47,4981,0.1527,0.9475,0.2765,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
48,5011,0.1514,0.949,0.2719,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
49,5018,0.1455,0.9505,0.2746,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
50,4940,0.1481,0.952,0.2879,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
51,5080,0.1431,0.953,0.2995,0.8925,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
52,5104,0.1321,0.9569,0.2883,0.8987,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
53,5195,0.1336,0.9552,0.2882,0.9013,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
54,5127,0.1379,0.9546,0.2807,0.9004,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
55,5158,0.1383,0.9551,0.2977,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
56,5207,0.1314,0.9576,0.2975,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
57,5190,0.1231,0.96,0.2944,0.8943,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
58,5218,0.1316,0.9561,0.2978,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
59,5255,0.1228,0.9601,0.2964,0.8991,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
60,5258,0.1071,0.9664,0.2768,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
61,5326,0.1116,0.9641,0.2822,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
