Epoch,Number_of_Unlabeled_Images,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc,Test_Pre,Test_Recall,Test_F1,Test_1_Acc,Test_2_Acc,Test_3_Acc,Test_4_Acc,Test_5_Acc,Test_7_Acc,Test_8_Acc,Test_Confusion_Matrix,Model_Parameter,Hours
62,5329,0.1007,0.9682,0.2806,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
63,5333,0.0974,0.971,0.2837,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
64,5365,0.1027,0.9678,0.2788,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
65,5388,0.0968,0.9716,0.2786,0.9057,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
66,5399,0.097,0.9707,0.2836,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
67,5385,0.1018,0.968,0.2807,0.9053,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
68,5399,0.0953,0.9723,0.2796,0.9062,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
69,5418,0.0957,0.9712,0.2915,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
70,5439,0.0981,0.9694,0.2824,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
71,5404,0.0923,0.9719,0.2899,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
72,5418,0.0993,0.9687,0.2847,0.9048,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
73,5444,0.0951,0.9716,0.2922,0.9044,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
74,5479,0.0986,0.9705,0.2868,0.9018,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
75,5470,0.0966,0.9708,0.2881,0.904,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
76,5448,0.0995,0.9689,0.2851,0.9031,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
77,5478,0.0944,0.9707,0.292,0.9022,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
78,5499,0.0939,0.9716,0.2924,0.9009,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
79,5471,0.0934,0.9718,0.2944,0.8978,None,None,None,None,None,None,None,None,None,None,None,None,None,65.38,None
80,5466,0.0936,0.9704,0.3002,0.9,0.3197,0.9022,0.9048,0.8972,0.9005,0.9594,0.8972,0.8426,0.9015,0.8314,0.9121,0.936,[[331  12   1   0   0   1   0]  [ 14 349  23   1   0   0   2]  [  0  15 273  31   4   1   0]  [  0   2  36 412   5   1   1]  [  0   0   7  17 143   4   1]  [  0   3   1   2   2 218  13]  [  0   0   4   3   2  13 322]],65.38,2.56
